Timestamp,Your major:,Are you an international student?,Your living arrangement during this pandemic,Does your living arrangement during this pandemic make it difficult for you to take the most out of online instruction?,How motivated are you about learning after this pandemic?,How well are you able to interact with your classmates about school work through zoom after this pandemic?,How well are you able to interact with your instructors through zoom after this pandemic?,"Describe your sense of belonging to UCLA after this pandemic. This could include ability to cope with challenges, feeling relaxed, not feeling excluded, interaction with diverse students and faculty, etc.",What are the concerns that you have after this pandemic?,In what way if any has this pandemic affected your anxiety about success in academics?,Describe if zoom has helped to lower the effect of social distancing on your academic and social life?,In what way if any has this pandemic affected your philosophy of life and what you consider to be the most important?,"We all talk about the negative effects of this pandemic, please share any positive affect this pandemic has had on you?"
2020/04/23 4:34:23 PM MDT,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,"I'm sorry I already submitted this form but am redoing it because I forgot to take a screenshot to receive extra credit for a class. Sorry for the inconvenience and please disregard this form. I would also like to make a very humble suggestion that you consider changing the phrasing of the 'pandemic' questions to say ""during this pandemic"" because I think a lot of them say 'after' while referring to the current situation.",,,,,
2020/04/23 5:04:34 PM MDT,STEM,Yes,In dorms,No,Equally motivated,2,1,"I was lucky to be placed into a room right next to my friend, and we have been able to do daily activities together, checking in with each other.","My main concern is that we are unsure on when exactly school will reopen with regular operations. Another concern is that students will hold more social gatherings after the pandemic, potentially increasing a chance that the pandemic is spread again among the student body.","The pandemic has made me stressed out regarding due dates and in general, losing a sense of time. However, online classes have reduced anxiety about success in my classes, as I feel that the stakes are lower and most professors are understanding and lenient due to the situation.","I don't think that Zoom can replace face-to-face interactions, but it does not influence the effects of social distancing.",,The pandemic has allowed me to slow down and focus on more personal goals throughout this period.
2020/04/23 5:13:18 PM MDT,STEM,Yes,In dorms,No,Less motivated than before?,1,1,"Feeling a bit lonely because it's hard to make social connections with other students. Sometime feel stressful to cope with difficulties by myself. But in general, I see it as a chance to improve myself.",My eyesights would get worse because of using zoom. I would definitely gain weight. I'm afraid I would become more introvert and less willing to interact with people.,"Almost no effect. After all, success in academics depends on oneself, but not the environment.","Zoom is helpful for academic life but bad for social life. I think it's weird to show my face or make my voice heard by the whole class from earphone, so I am less willing to participate in class or discussions. Zoom also makes it impossible to make friends in class. The positive side is that it saves time. I don't have to spend an hour walking to lecture rooms, and it is not necessary to attend live lectures. When playing the record, I can set the speed as I like, and pause anytime when I fall behind or miss a point. In addition, it is really nice that TAs can help address students' questions in chat window, which prevents from interrupting the professor's lecture.","I used to think a lot for others, but now I become more and more aware of the importance of myself. ","First of all, I feel grateful and lucky because this pandemic did not affect the health of my family and friends, so I don't feel any more anxious or stressful. For its positive affects, I have shared some thoughts in academic life. Plus to that, Single dorm is also beneficial. It gives me privacy and frees part of myself. For example, I can dance with music without concerning about others' weird looking. Also, I think I made a bad choice to stay in the dorm instead of going back home. It gives me a lesson. I should develop a more global outlook and learn to weigh the priority more carefully. I also feel thankful because quarantine allows me to have time of my own. I really enjoy the time to talk to myself. I learned to find, pay attention to and accept my real thoughts and feelings that have always been ignored beneath the thoughts of other people. I learned to love myself."
2020/04/23 6:09:28 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,1,,"Going back into school and society, because Im happier alone. ","I already am part of CAE for anxiety, depression, and ADHD. Now I basically can't do work, I already changed one of my classes to pass/no pass, and 5 days late on an essay, and have missed a quiz and HW for this class. I don't really know what to do at this point. ","I mean, it allows for people to stay at home . ","I already had no expectations for life or the future,  and did what I want when I want so, im doing very well.  It enforces to never get your hopes up ",I realized im way more introverted then I thought. Its nice cutting out the fake people and I can finally have time to myself away from UCLA. Ive gotten back into music am playing guitar and learning piano. 
2020/04/23 6:29:00 PM MDT,STEM,No,In my apartment,No,More motivated,1,2,I don't really feel excluded. I think it's actually easier to ask questions online to the instructor and most of my classes do have a nice platform for discussion.,I am about anxious about next year's housing situations and whether fall quarter will be normal and sort of interrupt with my summer plans.,sure the change of study setting calls for more self-discipline and better time management skills. But I did rise up to meet the demand and staying in actually saves me time walking from class to class or wandering around with awkward one hour gap between classes.,I am able to focus on the content of my instructors presentation rather smoothly. However sometimes my wifi lags really bad.,"As an introspective person, this gives me more chance to the path of personal growth. However, I'm incredibly disappointed and disgusted by the protesters of stay-home order even verbally or literally attacking nurses. I guess this has made me a bit more cynical than I already was.","I could move out of westwood, the city with crippling rent, for a place with cheaper rent. "
2020/04/23 7:18:51 PM MDT,STEM,No,In my apartment,No,Equally motivated,2,2,"I do not feel as a UCLA student, I feel like a online student",Finding Job.,I am not sure how the exam would be and students are not in the same situation anymore. For some the course is getting easier for some is getting harder. It is look like I am walking in darkness and can not see my way.,It helps some,Not that much,I spend more time with my family. We eat lunch together. I do not need to drive to university. I do not need to ask my family and friends to take of my daughter while I am in class.
2020/04/23 7:30:13 PM MDT,STEM,No,At home in californa,Yes,More motivated,2,1,During this pandemic my sense of belonging has suffer as I am able to see how different students are. That being said there are students who have better priviledges that allow them to continue to study and do well in their academics even from home. We dont have the same priviledge environment. ,my concerns are there will be so much debts and that my time to have applied to internships and ask for letters of recommendation will be affected.,I am more anxious about taking my midterms because I know that I have the internet plan that I can afford but also sometimes I have connectivity problems and the test are recorded and I worry that my frustration and anxiety over the internet connection might seem as me having suspicious behavior or otherwise cheating. Also since I live in a very small apartment there is no way that I can get a room all for myself to take my classes or test. ,Zoom is pretty much the same. yes i am able to see others faces but that just adds stress with internet and background noice. ,"I consider that my family and my health are the most important things. Yes I still value my education, however that comes after my family and health.",I am able to spend more time with my dad. He works really hard to provide for us and thus me being here I am able to see him more.
2020/04/23 7:50:33 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"Feels more difficult to get the help I need through friends, study groups, office hours",I would highly prefer life to return to normal as possible.,Harder to solve problems and get help because it all continuously builds up as the quarter progresses,"Not really, I try to limit my time away from the computer","Yes, I'm learning to live life every day as if there's no tomorrow. ",Learned to be grateful-- at least I live in CA so I don't have to worry about visa/out-of-state tuition/etc.
2020/04/23 7:57:43 PM MDT,STEM,No,At home in californa,No,More motivated,1,1,"My interaction with others has probably increased because instead of talking to just a close group of friends, I am collaborating with a larger group who can all respond. In regards to feeling relaxed, I feel more connected and informed (as I did not use the web or group chats and question forums so extensively). My ability to cope with challenges by staying up to date has improved. However, even though I am more connected to UCLA staff and students, I feel a lesser sense of belonging to the school as it seems that I could be in any online college.","Right now, I am not really worrying because I know everything nothing much will change from before and after the pandemic. I am only a freshman, so until I graduate, things won't be much different compared to if I was a graduating senior.",It has actually decreased my anxiety because the professors and TAs know that it is difficult for us and have made the homework load and exams easier (I do not know yet if it will be harder questions but the number of questions is less and it is open book).,"Yes it has. We can collaborate online like if we took classes in person. The only downside is that we don't like to show our faces and sometimes, there is lag.",I feel that humans are amazing creatures for making technology. The ability to speak through radio waves from anywhere around the world is awesome now that I reflect on it. The pandemic has provided more fuel to my dream of participating in the neuro-technological industry so that I can help innovate even more functional devices. ,"I can wake up later because I don't have to prepare for school when I wake up, and I don't have to walk back and forth between classes, meaning I have more free time. Also, with everything online, it is easier for my old school friends and I to interact than before when we waited for school breaks to get together in person."
2020/04/23 8:01:45 PM MDT,Non-STEM,Yes,In US but outside CA,No,More motivated,1,2,"My sense of belonging to UCLA has not decreased and in fact I may it increased over time. Staying away from campus helped me see more clearly what I appreciate UCLA for and how it enables me to work to my best potential. My interaction with the student body and the people that make UCLA what it is, is definitely missed. However, I am still in touch with my friends, even more than before. ",My concerns include assimilating back into campus after such a long break. I also wonder how the methods of learning and interactions on campus may be changed forever. ,"I dont think there has been much change with respect to my anxiety regarding academics. In fact, I am having a very busy quarter so academics and working hard towards my academic goals has helped to take my mind off the bigger worries about the pandemic. ","I'd definitely say zoom is helping emulate some aspects of life before the pandemic. In fact, I see myself attending more office hours and asking more doubts to professors since I can do so from the comfort of home. Zoom has also helped my keep in touch with my friends without which social distancing would have been much harder than it already is","I was always big on planning ahead, but this pandemic made me realize that we can only plan to a certain extent. We need to leave room for flexibility and contingencies. In the larger scheme of things, the academics I always worry about seem petty. Several moving parts need to function smoothly for me to think about and do the things I normally do. This led to a greater appreciation for people who enable that; my family, friends all service workers etc. ","The pandemic really allowed to take a step back from my busy life to introspect and reflect. It also allowed for more time to pursue things other than academics that I am passionate about like research, remote internships, writing, music etc. "
2020/04/23 8:12:06 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,1,2,"I feel as though it'll be better than before, because everyone will be altogether after the pandemic. People in quarantine definitely miss social interaction so we'll probably be interacting with each other even more than before.   ",I haven't really thought about the concerns after this pandemic. Just thinking mostly about the pandemic being over.,"I have definitely lost a lot of motivation to do work. Staring at a screen all day, every single day is quite tiring too. Many classes I'm taking depend on this knowledge being used for future classes so not sure if that'll have a big effect in the future.",I feel as though it would be the same.,Not really at this moment. Just doing a lot of observing in terms of how I'm responding to it versus how other people are. ,Helped me figure out what my hobbies truly are. Had me also reflect upon the things I want to start doing again.
2020/04/23 8:17:23 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,It's been difficult staying as connected especially with people experiencing different time zones and so the feelings of isolation are very high.,I am concerned about my grades and the affect on my GPA.,More than I thought as it is much harder to stay motivated and focused and in addition it is harder to grasp difficult concepts over video call.,It has for social a bit as some clubs will still meet via zoom but it hasn't lessened the effect much for academics.,I have definitely started to appreciate my health more as well as the time I get to talk to and spend with friends.,I have gotten to spend more time with my family.
2020/04/23 8:19:10 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,2,"My sense of belonging has diminished a bit since I'm no longer on campus. This means that I'm missing out on walking around campus, having spontaneous conversations with friends and classmates, eating together, etc. But in terms of pure academics I do not feel like I am missing out on as much. I actually appreciate that my professors all have the lectures recorded","None in mind, currently","Haven't noticed any changes. Might be slightly lower, actually","It has helped academically since it accommodates most aspects of the typical classroom experience, e.g. I can (virtually) raise my hand, see what is been written on the board clearly, etc. However from a social perspective it's more lacking. I am not seeing as many faces as I used to and there is overall much less social interaction between students. And for activities outside of academics, it really does not help much - the only time I use Zoom is during lectures. Outside of that I use other forms of social media and communication, but it's not the same as face-to-face interactions.","It has made me more appreciative of having people to talk to and regularly interact with outside of my immediate family, but outside that, not much.",My sleep schedule is better and I can spend more time with my family.
2020/04/23 8:33:49 PM MDT,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,I still love UCLA but we have such a vibrant student community and I don't feel very connected to it at the moment. I hope I will feel connected again after this pandemic.,"I am concerned about getting a job, considering the financial impacts of this pandemic. I am also worried about my mental health which has declined because of being at home. ",I don't have many outlets anymore to get rid of stress so my stress about academics has gone up significantly. ,Zoom has definitely helped with social distancing. Even just seeing familiar faces on the screen helps me feel connected. ,"This pandemic has taught me the importance of surrounding myself with people who care about me as much as I do about them. Moreover, this pandemic has shown me the importance of living life to the fullest, since my only regrets are the moments I stayed at home rather than going out with friends. ",I get to see my cat again who I've really missed since I have been away at college. 
2020/04/23 8:34:02 PM MDT,STEM,Yes,Outside US,No,More motivated,2,1,My sense of belonging is the same as before,I'll have to take exams during times like 3 am in my time zone,not being able to attend office hours because I'm in a different time zone,zoom helped me to make things easier,It has no impact on what I consider most important,I'm home
2020/04/23 8:38:02 PM MDT,STEM,No,At home in californa,Yes,More motivated,2,2,,I am concerned that it won't be safe for me to go back to Los Angeles after this pandemic. ,It has affected my anxiety about success in academics majorly. I can't really concentrate on my work sometimes because I'm too anxious about what's going on. ,Zoom has helped to lower the effect of social distracting. It keeps me busy and makes me feel productive. ,,It has definitely given me more time to spend with my family. 
2020/04/23 8:43:52 PM MDT,STEM,Yes,Outside US,No,Equally motivated,2,1,My sense of belongings is the same,not being able to attend office hours,I'll have to do my exams at midnight or even 3 am,If did not,It hasn't changed my perspectives,I'm home with my family
2020/04/23 8:58:22 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"It is so difficult. I find it so hard to interact with professors and TAs (especially the ones that are currently abroad).  There are so many online glitches to deal with too.  I don't feel like I am having the college experience.  I also do not feel like I have direct access to resources. My greek organization (which is what really made me feel like I belong on campus) has also canceled all events, leaving me to minimal interactions besides texting/facetime.  ","My health, my friends/family's health, that I will not be able to return until fall (if that).","I pretty much feel like I will perform EXTREMELY WORST than I would if I were on campus.  TAs and professors have not really been helpful, but are grading the same as if we had full access to resources we would on campus","Yes, I only leave my home now for essential items.","I want to put more focus on my family/friends, and I realize I have poured so much of myself to academics. ",I am spending more time with my immediate family. 
2020/04/23 9:12:27 PM MDT,STEM,No,At home in californa,No,More motivated,2,2,I feel comfortable knowing that are professors are still trying to make sure that we have the same resources that were available to us when we were on campus,"I'm worried about how everyone is going to deal with transitioning back to our regular routines, and I think for me transitioning back to school is going to be a little difficult","I feel like I have a lot more time on my hands right now so it is easier to keep up with my classes, and I'm worried that once classes start again I'll feel less motivated ","Having zoom has definitely made my classes seem less tedious because I get to interact with other people, even if it is through the internet.",I feel like I should prioritize my health more and find a way to make sure that its not impacting other things in my life,"It has encouraged me to see the positive side of things in times of difficultly, which is something I often struggle to do."
2020/04/23 9:20:15 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,Fairly similar; I just feel more detached from professors and general resources that were readily available on campus,The transition to fall; opening back too early; how easy it is for the virus to spread in a college campus ,"I am less motivated in my classes and find it difficult to get myself to do school work. This pandemic has also lead to worse mental health, contributing to my overall anxiety about academics and grades ","Zoom is good for providing a facade of interaction with peers and allowing for social activities. However, it does not replace the feeling I get from in person interactions",I now value my interactions with friends/family more and am more cognizant about not wasting time ,I have had time learn web development and build a portfolio 
2020/04/23 9:30:44 PM MDT,STEM,No,At home in californa,No,Equally motivated,1,2,This pandemic has increased my ability to cope with challenges while studying at UCLA.,My concren is that jobs will be harder to find after this is over. ,This pandemic has made me feel anxiety about my success in academics because it is more difficult to learn online and without direct communication with professors/peers. ,Zoom has helped lower the effect of social distancing because it allows us to talk and see each other for a short amount of time.,This pandemic has affected the way I view freedom because quarantine has taught me that I should have appreciated just being able to go out. I now realize that friendships and family reunions are what's most important. ,A positive effect this pandemic has had on me is that I have been able to spend more time with my immediate family. 
2020/04/23 9:33:56 PM MDT,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,2,I have an anxiety disorder so this isolaiton has been really difficult and makes it a lot harder to stay motivated for school.,My anxiety about being in social settings/living my life normally. ,"Because a lot of big changes happened so fast, this pandemic has really caused my general physical and mental anxiety to increase greatly overall. Staying on top of my work load and performing well in school is a lot harder now that my anxiety is so much worse. It makes it a lot harder to become motivated about school and focus on getting good grades when it feels like the whole world is ending. ",Zoom has definitely helped. My friends and I play game through zoom all the time! ,I know I will much cleaner and safer about where I go and what I touch now which kinda sucks because I like living a care free life style. This isolation has made me realize how much of an over thinker I am and how bad my anxiety is. ,I like that it has given me more time to write and focus on my health. 
2020/04/23 9:45:02 PM MDT,STEM,Yes,Outside US,No,Equally motivated,2,2,I do not feel as though I am a UCLA student anymore because I am sitting at home in Singapore for this quarter. However I still feel like a student who is engaged in learning and can take this opportunity to develop myself as an individual and as a student. Despite this I don't feel very connected to UCLA as my school. I could be a part of any of US college. ,"I am nervous about retuning back to school and feeling out of place again. I feel like I would have lost the skill to keep up and take notes in class, as I regularly pause the recorded lectures. I worry that the entire routine of college will be lost and I will feel as though I am starting freshman year again. ","The pandemic has not necessarily affected my anxiety about success in academics. Most of my assessments are now open- book, which allows me to have a better grasp on the concepts rather than worrying about memorizing my pages of notes. This is allowing my to understand the true value of education and I am back to the mindset of learning for the sake of learning. Additionally professors are taking the time to post most material online. I find that in person class, professors are hesitant to post as many materials in fear that it will reduce the in person attendance. However, as someone who enjoys going to class, I find these additional resources only helpful and I think the school should consider continuing to do this moving forward. ","I think that zoom helps to lower the effect of social distancing to some extent. However, online communication is more draining and can be difficult to keep up with. ",I think that it has impacted my philosophy of life in that I am starting to value the essence of things more. I am seeing college as an education experience rather than just an experience to have fun etc. ,"I am enjoying the time that I get to spend with my family. As an international student, it is rather difficult being away from home for so many months of the year so I think that this is providing me valuable time to appreciate my family "
2020/04/23 9:48:42 PM MDT,STEM,Yes,Outside US,No,Equally motivated,2,2,I don't feel as though I belong to UCLA as much as I did before. I feel like a student but it could be in any college in the US.  ,I am concerned about being able to cope with classes when we are in person. I am nervous I won't be able to keep up in taking notes in lecture as I have gotten used to  pausing recorded lectures and having all the slides available on CCLE (which professors are generally hesitant to do in order to disincentivize students from skipping class),It has not affected my anxiety about success in academic. ,It has to some extend although I find online communication more tiring than physical communication. ,"I now that start to value the essence of things more. I have a stronger understanding that my college experience is for education, for example. ",I am enjoying spending time with my family. This is a big struggle for me especially since I am an international student. 
2020/04/23 9:53:05 PM MDT,STEM,No,In my apartment,No,Equally motivated,2,2,"I haven't really had a change in my sense of belonging. Obviously I am sad that we are not in person taking classes, but I am still living with my roommates in our apartment in Westwood so it still feels like I go to UCLA and am just watching the bruincast of classes instead of walking to campus and attending.  ","I am concerned that the job market might be destroyed, making it difficult for me to find a job after graduation. I am also concerned that my academic plan is completely destroyed and I will have to start sacrificing things I want to do like study abroad. I am also very concerned that people will be too cautious with human contact after everything is over and that there will be a lack of connection amongst people.","The pandemic has allowed me to take 4 classes for the first time since everything is online and I now have the time. Having 4 classes is creating further anxiety I am not used to taking, but that isn't caused by the pandemic itself. I still have class with a bunch of friends so I am not really stressed since I have people to work with regularly. ","Academically, Zoom is actually probably increasing the effects of social distancing. I am usually one of the only ones with my camera on during my lectures and discussion so it feels like I am the only one in the class. Socially, Zoom has helped a lot to dampen the effects because we have zoom parties and family zoom calls every few days.","It has taught me that you must be adaptable to change as life can change in the matter of days. I have learned to cherish every moment of life, especially moments of spontaneity, freedoms and fun.",The pandemic has brought me closer with my roommates as we can only spend time with one another. It also has forced me to get better at cooking and find new activities that I enjoy.
2020/04/23 10:02:49 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,,,,,
2020/04/23 10:07:18 PM MDT,STEM,No,In my apartment,Yes,Less motivated than before?,2,2,"Being indoors everyday has definitely let me relax a lot. However, I am rarely outside now. So after this pandemic, I am definitely going outdoors and participate in more extracurriculars. ","Honestly, just my grades and how I will re-adjust back to normal classes.",It has affected my motivation and focus during lectures.  Being at home makes me feel lazy.,"Zoom did not really affect my social distancing, since I rarely talk to the students during lecture.",It's taught me to not take advantage of anything. I honestly miss normal classes.,I have time to do my skin care every day!
2020/04/23 10:38:37 PM MDT,STEM,Yes,At home in californa,No,Equally motivated,1,1,I feel like participation is much easier for introverts like me :),"I don't want there to be a second, more powerful wave.",I spend more time on my phone at home - I was less distracted in college. I hope my academics will not be affected by that.,"Yes, it has! I even video call my friends on Zoom now ",I need a very structured lifestyle. This pandemic has taught me to be more adaptible.,I spend more time with family :)
2020/04/23 10:38:56 PM MDT,Non-STEM,Yes,In dorms,No,Less motivated than before?,1,1,To have classes with my friends and other classmates has never been so satisfying.,"The cost of living. Worries about being employed. Whether I will be able to get back when the campus reopens later this year. (and, if we remain online, whether UCLA VPN will work out when accessing the SEASnet machines.)",Uncertainty about when I need to move sometimes make it hard to stay focus in class. ,Asking questions in class becomes more convenient. I'm able to attend some activities that I wasn't able to attend due to time conflict / not willing to meet people.,"I realized I should worry less when making decisions, and try harder to make myself happier and take care of my own mood.",Still figuring out...
2020/04/23 10:50:50 PM MDT,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,"I feel very detached from UCLA now, as this is only my first year, and I am not certain how confident I will feel in facing future challenges and feeling seen and supported.",Being expected to return to normalcy and the same levels of motivation and productivity after the huge hit to my mental and emotional health and my regression to chronic depression and suicidal ideation.,"I was already anxious about success in academics because I am a queer, bisexual, nonbinary, autistic daughter of Filipino immigrants, and I do not feel represented or valued in academia, but now I feel that if I do not continue to perform with absolute perfection over the course of my college career, I will be a failure and a setback to myself, my family, and my communities.","Zoom has helped somewhat because it allows me to hear and occasionally see another human besides my parents, and the QTBIPOC Space and Gayming Afternoons from the LGBT CRC, combined with the Connection Circles and GRIT Resilience workshops from the RISE Center, have been valuable lifelines of connection and community support to me.","It has not significantly affected my philosophy of life, but I do feel more of a sense of urgency to share my life with my loved ones while I can. I strongly feel regret for constantly falling prey to the feeling that I must be perfect in order to make a difference (even if it does result in excellent work) and prioritizing academics and work over my important relationships and my own health and wellbeing.","When we all happen to not be in states of extreme social withdrawal, I have found myself communicating with my loved ones more frequently, and in more creative ways. I also feel that being at home has allowed me to spend more time resting, meditating, and sharing love and affection with my family and my dogs more than I have in years."
2020/04/23 10:52:08 PM MDT,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,I feel that less community can be built in online classes than before. ,I am struggling with staying focused in my work at home.,I am nervous about classes that I wouldn't potentially be allowed to take pass / no pass if the stay at home orders are extended and things feel more unending. ,Yes that would be one positive. I enjoy talking to people and having a routine for my classes as something to attend.,The pandemic has reminded me that family and health are the most important things. It is okay to take some pressure off yourself in school.,I have gotten a lot more sleep than usual!
2020/04/23 10:59:31 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,i feel very out of place. while i appreciate all the efforts the university is taking to help us during such difficult times it also feels like they are more motivated by movie than the actual well being of their students and faculty. however i really do appreciate the way some professors have made changes to their own classes to help each situation because it relieves some stress.,"it is very hard to retain or learn information not only because classes are online but also given my living situation, there isn't actually ever a time where I can be alone and fully be attentive to my studies since I have many family obligations",I have never been more anxious to take exams and perform well on them. I have tried to create a routine for myself but even following that it is very difficult to do feel like i'm doing well in school. I am scared for what will happen and feel very discouraged about my ability to succeed academically.,"it somehow has, i enjoy being able to interact with professors or classmates in the chat.",I've always been a homebody so the need to stay indoors isn't that bad but also i've never wanted to leave my home more haha. I have a habit of neglecting my mental health but during these times I have realized that it is actually very important to prioritize it and find ways to relieve stress during these times,i've learn how to work on having more patience and better communicating my emotions. I've also been more open to seeking out help instead of doing everything by myself
2020/04/23 11:21:34 PM MDT,STEM,Yes,In my apartment,Yes,Less motivated than before?,2,2,I feel UCLA is still doing the best trying to help students accomodated to the current situation.,The motivation of study,Sometimes I find it hard to follow the professor when there's only a ppt without any notation,Zoom is a good tool but it definitely make people feel more away.,NA,The pandemic keeps people together 
2020/04/23 11:46:26 PM MDT,STEM,Yes,Outside US,Yes,Equally motivated,2,1,"Given the fact that I cannot attend half my classes (since they are past 1 am), I miss out on opportunities to ask questions in class. Furthermore, professor/TA office hours are more often than not at odd times of the night, which makes it difficult for me to attend those too. Thus, I am forced to send emails when clarifying my doubts, which can get very tedious. Overall, my sense of belonging to UCLA has dwindled as a result of this pandemic. Converting all the different deadlines between timezones also gets tedious. ","There will be a second of wave once everyone eventually congregates back in UCLA, which will shift instruction back online.","With the whole change in timezones, it is tedious and stressful at times to stay on top of all the deadlines (homeworks, quizzes, midterms, finals, other assignments) for each course.","It has not in most cases, since most people prefer to turn their cameras off and use the chat box rather than speaking up.","This pandemic has proved how fast a contagious disease can really spread, and how one must always prioritize personal health and safety over and above everything else.",More quality time spent at home with family.
2020/04/23 11:47:11 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"My sense of belonging hasn't drastically changed with the school during this pandemic. Although, I do have frustrations regarding how difficult it is for me to accomplish my work at home which. I also think in terms of interactions with people, that is something that I am missing since I can't meet people one on one and form those bonds.",Some of my concerns are probably adjusting to going to in person lectures and discussions. Having to adapt to what will likely be a changed environment with my peers since the extra precautions with sanitation will carry on until we can get a vaccine. I think being able to concentrate on my academics without thinking about the state of the world will be difficult too.,It has negatively affected my motivation and levels of concentration. I struggle to get my work done in my home environment after spending almost a year keeping school work at school and having home be a place of relaxation. This has overall raised my anxiety about my academics as I struggle to get started and work on assignments on a more timely schedule. ,Zoom has helped with social distancing with the academic and social aspects of my life as I am able to still be in contact with friends from school. I mostly use it with assignments or to help a friend understand work and that tends to be a way for me to socialize. I socialize with my friends more through direct messaging though. ,This pandemic has probably just emphasized to me how important my family is to me. It has made me upset at the number of people who don't seem to care for the larger susceptible population. I think it has also made me be more vocal in terms of my affection for my family especially with the amounts of deaths that happen everyday. ,I have had the opportunity to spend more time with my family which is usually limited during the academic year. 
2020/04/23 11:49:07 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,2,Not interacting with other students as much has decreased my sense of belonging.,"How long will it be till life goes to the ""new normal""?",Increased stress about missing something/falling behind in my classes.,"Yes, I like interacting with profs and other students on Zoom.","This pandemic has shown how fragile life can be, and it has made me appreciate everything I took from granted before the pandemic hit. Despite all this, I find peace in the fact that we can still adapt to such an event.","I now enjoy sitting in my backyard a lot more, and I find my generally very introverted self to appreciate any interaction a lot more."
2020/04/23 11:55:07 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,2,"It's definitely isolating and less stimulating being at home versus being at UCLA. The people, physical environment, and access to resources on campus far exceeds what I have at home (not that I don't appreciate my family, for the record).","When things will return to normal, whether Fall instruction for medical school will be remote/online. You can't substitute some things with virtual instruction. ","This question may be less relevant for me as I have been accepted to medical school and had planned this quarter to be relaxed/low-stakes, anyway.","It has. Not only academically, but I use it to keep in touch with friends/my significant other.","Great question. It's helped me cherish the simple things like seeing my friends, working out, eating at restaurants, and traveling close or far. I hope I will appreciate these things I took for granted more once some normalcy returns. ","Appreciation for the mundane and routine. My significant other, who, during these times, is often the only social contact I have besides with my family."
2020/04/24 12:06:52 AM MDT,Non-STEM,No,In US but outside CA,Yes,Equally motivated,2,2,"I'm not sure how I feel about this, to be honest. I think that I feel really tired and stressed as a result of the things that are happening outside of just academics and I don't feel like I have anywhere to turn to in terms of resources at UCLA. It feels bad to ask for help from professors because that feels more like a ""high school"" thing and it feels like professors probably have better things to do than try to work with things that aren't in their control either. I don't think it's directly because of UCLA, but I just feel a little disconnected.","I don't know when things are going to ""go back to normal"". I wish there was just a stopping point where I would know that things would be over and it saddens me that I don't. I stress that my family might not have a source of income because of the job insecurity occurring. I worry about whether or not my current internships will drop me if the pandemic continues for too long. I worry that I won't be able to return to campus and I'll be in the same unmotivated and terrified state. As of today, I'm deeply worried about what state my father's health will be in. ","I feel ""insufficient"". I'm always anxious that I can't catch up on work, time is flying by faster than I ever expect, and the classes I'm taking feel like they're speeding up. Things feel more out of  my control than they should, even though they're academics and they should be. I just feel stressed as a result of things outside of academics and the pressure and change from physical classes to online classes is tiring and draining and I feel like I should anticipate that I'll do worse this quarter. I've also gotten much more worried about my ability to do well in my majors of choice because I don't feel like I'm doing as well as I should in the classes I'm taking. I'm questioning if double majoring is a choice or whether or not I'm even ""built for double majoring"". I'm sure I'm just exhausted from the situation happening around me though. ","I don't personally use it socially because I use Discord. Not the fault of Zoom, but I have a harder time focusing on classes. I don't feel like I should talk much in chat because it's class time.","I'm not sure. If anything, I'm just more anxious than I am anything else. ",I'm not sure about this either. Things feel a little too heavy to consider positives right now and it's difficult to really see anything positive in the situation I'm in. 
2020/04/24 12:24:13 AM MDT,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,"I feel more isolated, as it is harder to form connections with other students and teachers through online learning. ",I am concerned that professors are going to make classes harder after the pandemic after having to make their class slightly easier during this time. ,"My anxiety from the pandemic and being in quarantine has caused me to become less focused and motivated towards my academics, so there is a dip in the success of my academics this quarter. ","Zoom has definitely helped maintain my social and academic life during this time, as I am still able to keep in contact with other students and friends. ","From this pandemic, I have learned to not take anything for granted anymore and that one's health should always be their number one priority. I have a greater appreciation towards the health care workers and will appreciate going outside more often than before. ","I have more time to myself, which was something I hardly got at school. This includes being able to pursue more of my own hobbies and passions. Online learning, especially prerecorded lectures, has also allowed me to learn at my own pace and on my own time which is much more desirable. "
